Vendor,GRAPHTEC Corporation
Model,GL220
Version,Ver1.04
Sampling,5min
Total data points,8376        
Start time,2014-06-17,11:20:14
End time,2014-07-16,13:15:14
Trigger time,2014-06-17,11:20:14
AMP Settings
CH,Signal name,Input,Range,Filter,Span
CH1, "CH1",DC,50V,Off,25.000000,-25.000000,V
CH2, "CH2",DC,50V,Off,25.000000,-25.000000,V
CH3, "CH3",DC,500mV,Off,250.000000,-250.000000,mV
CH4, "CH4",DC,500mV,Off,250.000000,-250.000000,mV
CH5, "CH5",DC,500mV,Off,250.000000,-250.000000,mV
CH6, "CH6",DC,100mV,Off,50.000000,-50.000000,mV
CH7, "CH7",DC,5V,Off,2.500000,-2.500000,V
CH8, "CH8",DC,5V,Off,2.500000,-2.500000,V
CH9, "CH9",DC,5V,Off,2.500000,-2.500000,V
CH10, "CH10",DC,5V,Off,2.500000,-2.500000,V
Logic/Pulse,Off
DataNumber,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
NO.,Time,ms,V,V,mV,mV,mV,mV,V,V,V,V,A1234567890,A1234
1,2014-06-17 11:20:14,000,+0.02,+0.00,+42.1,+2.8,+38.4,+10.88,+0.072,-0.526,+0.003,+0.124,LLLLLLLLLL,LLLL
2,2014-06-17 11:25:14,000,+0.01,+0.00,+94.5,+13.7,+80.0,+18.45,+0.074,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
3,2014-06-17 11:30:14,000,+0.01,+0.00,+81.3,+10.9,+70.0,+9.34,+0.079,-0.526,+0.003,+0.105,LLLLLLLLLL,LLLL
4,2014-06-17 11:35:14,000,+0.01,+0.00,+84.1,+5.4,+77.3,-5.75,+0.079,-0.526,+0.003,+0.105,LLLLLLLLLL,LLLL
5,2014-06-17 11:40:14,000,+0.01,+0.00,+78.7,+2.8,+75.2,+4.39,+0.079,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
6,2014-06-17 11:45:14,000,+0.01,+0.00,+65.9,+5.3,+59.4,+7.53,+0.077,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
7,2014-06-17 11:50:14,000,+0.01,-0.01,+55.1,+2.6,+51.6,+8.54,+0.074,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
8,2014-06-17 11:55:14,000,+0.01,+0.00,+42.2,+2.7,+35.6,+8.37,+0.072,-0.527,+0.003,+0.112,LLLLLLLLLL,LLLL
9,2014-06-17 12:00:14,000,+0.01,+0.01,+47.4,+0.1,+46.3,+9.24,+0.072,-0.526,+0.003,+0.111,LLLLLLLLLL,LLLL
10,2014-06-17 12:05:14,000,+0.01,+0.00,+42.0,+11.1,+27.8,+10.81,+0.072,-0.526,+0.003,+0.113,LLLLLLLLLL,LLLL
11,2014-06-17 12:10:14,000,+0.01,+0.00,+42.2,+2.7,+41.0,+10.12,+0.072,-0.527,+0.003,+0.116,LLLLLLLLLL,LLLL
12,2014-06-17 12:15:14,000,+0.01,+0.00,+39.6,-5.1,+43.6,+10.58,+0.069,-0.526,+0.003,+0.114,LLLLLLLLLL,LLLL
13,2014-06-17 12:20:14,000,+0.01,+0.00,+36.9,+2.6,+33.1,+9.71,+0.069,-0.526,+0.003,+0.117,LLLLLLLLLL,LLLL
14,2014-06-17 12:25:14,000,+0.01,+0.00,+39.7,-5.2,+43.6,+9.47,+0.069,-0.526,+0.003,+0.121,LLLLLLLLLL,LLLL
15,2014-06-17 12:30:14,000,+0.01,+0.00,+42.2,+13.6,+27.7,+10.11,+0.072,-0.526,+0.003,+0.124,LLLLLLLLLL,LLLL
16,2014-06-17 12:35:14,000,+0.01,+0.00,+44.6,+10.9,+35.6,+9.86,+0.072,-0.526,+0.003,+0.932,LLLLLLLLLL,LLLL
17,2014-06-17 12:40:14,000,+4.53,+0.43,+47.4,+2.8,+43.8,+11.39,+0.072,-0.526,+0.003,+1.248,LLLLLLLLLL,LLLL
18,2014-06-17 12:45:14,000,+4.56,+0.42,+42.2,+8.0,+33.2,+12.78,+0.069,-0.527,+0.003,+1.176,LLLLLLLLLL,LLLL
19,2014-06-17 12:50:14,000,+4.57,+0.42,+44.8,+7.9,+35.8,+12.48,+0.072,-0.526,+0.003,+1.151,LLLLLLLLLL,LLLL
20,2014-06-17 12:55:14,000,+4.48,+0.50,+68.2,+0.2,+67.5,+5.61,+0.074,-0.526,+0.003,+1.147,LLLLLLLLLL,LLLL
21,2014-06-17 13:00:14,000,+4.45,+0.52,+57.8,+2.8,+54.5,+7.01,+0.074,-0.526,+0.003,+1.210,LLLLLLLLLL,LLLL
22,2014-06-17 13:05:14,000,+4.41,+0.42,+49.9,+0.1,+46.5,+8.54,+0.072,-0.526,+0.003,+1.117,LLLLLLLLLL,LLLL
23,2014-06-17 13:10:14,000,+4.48,+0.41,+52.5,-7.7,+56.9,+8.92,+0.072,-0.526,+0.003,+1.263,LLLLLLLLLL,LLLL
24,2014-06-17 13:15:14,000,+4.54,+0.47,+42.2,+2.9,+38.3,+18.39,+0.072,-0.526,+0.003,+1.123,LLLLLLLLLL,LLLL
25,2014-06-17 13:20:14,000,+4.54,+0.39,+39.5,+11.0,+27.8,+24.23,+0.069,-0.526,+0.003,+1.266,LLLLLLLLLL,LLLL
26,2014-06-17 13:25:14,000,+4.55,+0.40,+52.5,+13.8,+40.9,+16.64,+0.069,-0.526,+0.003,+1.104,LLLLLLLLLL,LLLL
27,2014-06-17 13:30:14,000,+4.57,+0.39,+50.0,-2.4,+54.4,+4.53,+0.072,-0.526,+0.003,+1.176,LLLLLLLLLL,LLLL
28,2014-06-17 13:35:14,000,+4.56,+0.34,+44.7,-2.3,+48.9,+6.37,+0.069,-0.527,+0.003,+1.104,LLLLLLLLLL,LLLL
29,2014-06-17 13:40:14,000,+4.58,+0.42,+57.6,+0.3,+56.6,+11.04,+0.074,-0.526,+0.003,+1.178,LLLLLLLLLL,LLLL
30,2014-06-17 13:45:14,000,+4.54,+0.42,+49.9,+11.2,+38.2,+12.42,+0.072,-0.526,+0.003,+1.123,LLLLLLLLLL,LLLL
31,2014-06-17 13:50:14,000,+4.53,+0.42,+81.4,+3.0,+77.3,+10.20,+0.074,-0.527,+0.003,+1.154,LLLLLLLLLL,LLLL
32,2014-06-17 13:55:14,000,+4.53,+0.57,+55.3,+5.5,+49.1,+11.19,+0.077,-0.526,+0.003,+1.125,LLLLLLLLLL,LLLL
33,2014-06-17 14:00:14,000,+4.51,+0.51,+81.5,+0.2,+80.0,+10.81,+0.072,-0.526,+0.003,+1.134,LLLLLLLLLL,LLLL
34,2014-06-17 14:05:14,000,+4.51,+0.57,+50.1,-2.4,+51.8,+13.94,+0.074,-0.527,+0.003,+1.109,LLLLLLLLLL,LLLL
35,2014-06-17 14:10:14,000,+4.49,+0.51,+47.5,+2.9,+43.7,+10.44,+0.072,-0.526,+0.003,+1.120,LLLLLLLLLL,LLLL
36,2014-06-17 14:15:14,000,+4.48,+0.46,+44.8,-4.9,+48.9,+11.61,+0.069,-0.526,+0.003,+1.107,LLLLLLLLLL,LLLL
37,2014-06-17 14:20:14,000,+4.48,+0.45,+39.7,+5.5,+33.2,+11.80,+0.069,-0.526,+0.003,+1.107,LLLLLLLLLL,LLLL
38,2014-06-17 14:25:14,000,+4.47,+0.41,+42.1,-2.2,+43.7,+10.55,+0.069,-0.527,+0.003,+1.145,LLLLLLLLLL,LLLL
39,2014-06-17 14:30:14,000,+4.48,+0.45,+47.3,+0.4,+49.0,+11.71,+0.069,-0.526,+0.003,+1.101,LLLLLLLLLL,LLLL
40,2014-06-17 14:35:14,000,+4.49,+0.45,+44.8,+2.9,+41.1,+12.71,+0.069,-0.526,+0.003,+1.351,LLLLLLLLLL,LLLL
41,2014-06-17 14:40:14,000,+4.53,+0.52,+60.3,+8.2,+54.4,+10.49,+0.072,-0.526,+0.003,+1.098,LLLLLLLLLL,LLLL
42,2014-06-17 14:45:14,000,+4.50,+0.42,+42.2,+3.0,+38.4,+12.05,+0.069,-0.526,+0.046,+1.157,LLLLLLLLLL,LLLL
43,2014-06-17 14:50:14,000,+4.48,+0.41,+44.8,+5.6,+38.4,+11.46,+0.069,-0.527,+0.166,+1.088,LLLLLLLLLL,LLLL
44,2014-06-17 14:55:14,000,+4.50,+0.42,+52.6,+11.2,+41.1,+12.69,+0.072,-0.527,+0.210,+1.079,LLLLLLLLLL,LLLL
45,2014-06-17 15:00:14,000,+4.51,+0.45,+44.9,+0.3,+43.7,+12.92,+0.072,-0.526,+0.154,+1.089,LLLLLLLLLL,LLLL
46,2014-06-17 15:05:14,000,+4.51,+0.46,+39.6,+0.3,+38.4,+12.66,+0.072,-0.526,+0.098,+1.099,LLLLLLLLLL,LLLL
47,2014-06-17 15:10:14,000,+4.51,+0.47,+47.3,-4.8,+51.7,+12.29,+0.072,-0.527,+0.059,+1.088,LLLLLLLLLL,LLLL
48,2014-06-17 15:15:14,000,+4.51,+0.48,+57.6,+5.6,+48.9,+13.93,+0.072,-0.526,+0.003,+1.189,LLLLLLLLLL,LLLL
49,2014-06-17 15:20:14,000,+4.53,+0.56,+49.9,+0.2,+49.1,+12.48,+0.074,-0.526,+0.003,+1.086,LLLLLLLLLL,LLLL
50,2014-06-17 15:25:14,000,+4.52,+0.50,+50.1,+13.8,+35.7,+13.89,+0.072,-0.526,+0.003,+1.278,LLLLLLLLLL,LLLL
51,2014-06-17 15:30:14,000,+4.52,+0.48,+42.1,+3.0,+38.4,+13.30,+0.072,-0.526,+0.003,+1.082,LLLLLLLLLL,LLLL
52,2014-06-17 15:35:14,000,+4.51,+0.47,+49.9,-4.8,+51.7,+13.49,+0.072,-0.527,+0.003,+1.244,LLLLLLLLLL,LLLL
53,2014-06-17 15:40:14,000,+4.53,+0.43,+47.2,+5.6,+41.1,+12.42,+0.069,-0.527,+0.003,+1.080,LLLLLLLLLL,LLLL
54,2014-06-17 15:45:14,000,+4.55,+0.42,+42.0,-4.9,+46.4,+11.43,+0.069,-0.526,+0.003,+1.143,LLLLLLLLLL,LLLL
55,2014-06-17 15:50:14,000,+4.59,+0.41,+52.5,-7.6,+56.8,+11.93,+0.072,-0.527,+0.003,+1.078,LLLLLLLLLL,LLLL
56,2014-06-17 15:55:14,000,+4.63,+0.46,+55.1,-2.4,+54.3,+11.80,+0.074,-0.527,+0.003,+1.120,LLLLLLLLLL,LLLL
57,2014-06-17 16:00:14,000,+4.61,+0.48,+83.7,+11.1,+72.8,+12.60,+0.074,-0.527,+0.003,+1.080,LLLLLLLLLL,LLLL
58,2014-06-17 16:05:14,000,+5.04,+0.64,+68.4,-2.3,+72.8,+11.77,+0.079,-0.527,+0.003,+1.109,LLLLLLLLLL,LLLL
59,2014-06-17 16:10:14,000,+4.97,+0.57,+73.6,+5.5,+67.3,+12.05,+0.074,-0.526,+0.003,+1.078,LLLLLLLLLL,LLLL
60,2014-06-17 16:15:14,000,+4.85,+0.64,+71.0,+2.7,+67.5,+11.50,+0.079,-0.527,+0.003,+1.091,LLLLLLLLLL,LLLL
61,2014-06-17 16:20:14,000,+5.42,+0.61,+141.3,+16.4,+122.0,+14.95,+0.079,-0.526,+0.003,+1.078,LLLLLLLLLL,LLLL
62,2014-06-17 16:25:14,000,+6.32,+0.72,+104.7,+0.4,+103.3,+9.39,+0.085,-0.526,+0.003,+1.089,LLLLLLLLLL,LLLL
63,2014-06-17 16:30:14,000,+5.80,+0.64,+89.1,+11.4,+75.4,+5.30,+0.079,-0.526,+0.003,+1.074,LLLLLLLLLL,LLLL
64,2014-06-17 16:35:14,000,+5.65,+0.65,+68.4,+8.2,+59.5,+7.09,+0.079,-0.526,+0.003,+1.076,LLLLLLLLLL,LLLL
65,2014-06-17 16:40:14,000,+5.26,+0.66,+94.2,+5.6,+90.6,+6.80,+0.082,-0.527,+0.003,+1.100,LLLLLLLLLL,LLLL
66,2014-06-17 16:45:14,000,+4.82,+0.62,+62.8,+2.9,+59.4,+6.62,+0.082,-0.526,+0.003,+1.069,LLLLLLLLLL,LLLL
67,2014-06-17 16:50:14,000,+4.64,+0.52,+55.0,+5.6,+49.1,+7.90,+0.074,-0.526,+0.003,+1.286,LLLLLLLLLL,LLLL
68,2014-06-17 16:55:14,000,+5.11,+0.46,+54.8,+5.3,+49.1,+7.67,+0.074,-0.526,+0.003,+1.056,LLLLLLLLLL,LLLL
69,2014-06-17 17:00:14,000,+4.89,+0.45,+49.8,+0.2,+48.9,+6.77,+0.074,-0.526,+0.003,+1.097,LLLLLLLLLL,LLLL
70,2014-06-17 17:05:14,000,+4.63,+0.43,+44.6,+0.1,+43.7,+6.65,+0.074,-0.526,+0.003,+1.042,LLLLLLLLLL,LLLL
71,2014-06-17 17:10:14,000,+4.54,+0.37,+36.8,-7.7,+43.6,+6.48,+0.072,-0.527,+0.003,+1.003,LLLLLLLLLL,LLLL
72,2014-06-17 17:15:14,000,+4.54,+0.39,+41.9,+0.1,+40.9,+7.08,+0.072,-0.526,+0.003,+1.034,LLLLLLLLLL,LLLL
73,2014-06-17 17:20:14,000,+4.52,+0.37,+57.4,+2.8,+54.1,+7.67,+0.072,-0.526,+0.003,+1.029,LLLLLLLLLL,LLLL
74,2014-06-17 17:25:14,000,+4.53,+0.54,+68.2,+2.8,+67.2,+7.05,+0.082,-0.527,+0.003,+1.023,LLLLLLLLLL,LLLL
75,2014-06-17 17:30:14,000,+4.49,+0.44,+88.9,+5.4,+82.3,+7.36,+0.079,-0.526,+0.003,+1.106,LLLLLLLLLL,LLLL
76,2014-06-17 17:35:14,000,+4.45,+0.47,+99.3,+0.0,+100.2,+6.47,+0.085,-0.526,+0.003,+1.015,LLLLLLLLLL,LLLL
77,2014-06-17 17:40:14,000,+4.42,+0.47,+54.9,-2.6,+56.5,+7.08,+0.082,-0.526,+0.003,+1.167,LLLLLLLLLL,LLLL
78,2014-06-17 17:45:14,000,+4.34,+0.36,+39.3,-0.1,+38.1,+8.27,+0.077,-0.526,+0.003,+1.012,LLLLLLLLLL,LLLL
79,2014-06-17 17:50:14,000,+4.33,+0.34,+39.3,-2.5,+38.2,+8.50,+0.074,-0.526,+0.003,+1.124,LLLLLLLLLL,LLLL
80,2014-06-17 17:55:14,000,+4.33,+0.38,+49.8,+2.7,+46.2,+15.31,+0.077,-0.526,+0.003,+1.012,LLLLLLLLLL,LLLL
81,2014-06-17 18:00:14,000,+4.35,+0.40,+47.0,-2.5,+48.9,+6.73,+0.076,-0.527,+0.003,+1.082,LLLLLLLLLL,LLLL
82,2014-06-17 18:05:14,000,+4.33,+0.35,+44.5,-5.0,+48.9,+6.00,+0.074,-0.526,+0.003,+1.010,LLLLLLLLLL,LLLL
83,2014-06-17 18:10:14,000,+4.34,+0.37,+60.2,-5.1,+64.5,+13.56,+0.076,-0.526,+0.003,+1.047,LLLLLLLLLL,LLLL
84,2014-06-17 18:15:14,000,+4.40,+0.42,+62.6,-10.5,+69.8,-0.01,+0.079,-0.526,+0.003,+1.010,LLLLLLLLLL,LLLL
85,2014-06-17 18:20:14,000,+4.41,+0.43,+68.1,-2.4,+69.8,+5.39,+0.079,-0.527,+0.003,+1.034,LLLLLLLLLL,LLLL
86,2014-06-17 18:25:14,000,+4.42,+0.47,+81.0,-12.9,+90.3,+14.17,+0.082,-0.526,+0.003,+1.013,LLLLLLLLLL,LLLL
87,2014-06-17 18:30:14,000,+4.43,+0.45,+81.0,-2.5,+79.6,+0.51,+0.082,-0.526,+0.003,+1.032,LLLLLLLLLL,LLLL
88,2014-06-17 18:35:14,000,+4.44,+0.43,+83.6,+2.6,+79.7,+2.39,+0.082,-0.526,+0.003,+1.013,LLLLLLLLLL,LLLL
89,2014-06-17 18:40:14,000,+4.46,+0.46,+70.8,-2.6,+75.0,+4.81,+0.084,-0.527,+0.003,+1.026,LLLLLLLLLL,LLLL
90,2014-06-17 18:45:14,000,+4.41,+0.42,+65.5,-7.7,+72.4,+12.59,+0.079,-0.527,+0.003,+1.012,LLLLLLLLLL,LLLL
91,2014-06-17 18:50:14,000,+4.44,+0.43,+78.4,-5.1,+85.1,+9.81,+0.079,-0.527,+0.003,+1.023,LLLLLLLLLL,LLLL
92,2014-06-17 18:55:14,000,+4.46,+0.38,+65.5,-5.1,+69.8,-0.40,+0.079,-0.527,+0.003,+1.012,LLLLLLLLLL,LLLL
93,2014-06-17 19:00:14,000,+4.54,+0.37,+71.0,-2.5,+72.5,+12.05,+0.079,-0.526,+0.003,+1.023,LLLLLLLLLL,LLLL
94,2014-06-17 19:05:14,000,+5.29,+0.36,+54.9,-10.4,+67.2,+7.72,+0.076,-0.526,+0.003,+1.548,LLLLLLLLLL,LLLL
95,2014-06-17 19:10:14,000,+6.82,+0.36,+86.5,+2.6,+82.4,-0.77,+0.079,-0.526,+0.003,+1.015,LLLLLLLLLL,LLLL
96,2014-06-17 19:15:14,000,+7.54,+0.39,+62.6,-5.0,+69.9,+8.34,+0.082,-0.526,+0.003,+1.026,LLLLLLLLLL,LLLL
97,2014-06-17 19:20:14,000,+7.91,+0.39,+73.4,-2.5,+75.0,+12.11,+0.079,-0.526,+0.003,+1.018,LLLLLLLLLL,LLLL
98,2014-06-17 19:25:14,000,+7.90,+0.37,+57.4,-5.0,+59.2,+5.92,+0.077,-0.526,+0.037,+3.216,LLLLLLLLLL,LLLL
99,2014-06-17 19:30:14,000,+8.06,+0.38,+52.4,-5.1,+56.7,+14.72,+0.077,-0.526,+0.071,+1.034,LLLLLLLLLL,LLLL
100,2014-06-17 19:35:14,000,+8.19,+0.38,+52.6,-10.1,+64.6,+17.89,+0.074,-0.526,+0.137,+1.048,LLLLLLLLLL,LLLL
101,2014-06-17 19:40:14,000,+8.49,+0.43,+57.8,+3.0,+54.4,+19.50,+0.076,-0.526,+0.190,+1.049,LLLLLLLLLL,LLLL
102,2014-06-17 19:45:14,000,+8.47,+0.46,+76.2,+2.9,+70.3,+18.43,+0.076,-0.526,+0.229,+0.962,LLLLLLLLLL,LLLL
103,2014-06-17 19:50:14,000,+8.34,+0.55,+68.5,+5.7,+62.2,+14.29,+0.079,-0.526,+0.244,+1.064,LLLLLLLLLL,LLLL
104,2014-06-17 19:55:14,000,+7.63,+0.52,+65.9,-4.9,+70.4,+10.73,+0.077,-0.526,+0.261,+1.099,LLLLLLLLLL,LLLL
105,2014-06-17 20:00:14,000,+7.20,+0.51,+84.1,+8.2,+75.5,+2.23,+0.076,-0.527,+0.302,+1.068,LLLLLLLLLL,LLLL
106,2014-06-17 20:05:14,000,+6.96,+0.57,+71.1,+0.2,+70.2,+0.40,+0.082,-0.527,+0.346,+1.230,LLLLLLLLLL,LLLL
107,2014-06-17 20:10:14,000,+6.40,+0.59,+133.6,+11.2,+119.4,+0.07,+0.087,-0.526,+0.373,+1.072,LLLLLLLLLL,LLLL
108,2014-06-17 20:15:14,000,+6.24,+0.68,+144.0,+11.1,+132.7,-1.73,+0.092,-0.527,+0.361,+1.312,LLLLLLLLLL,LLLL
109,2014-06-17 20:20:14,000,+5.73,+0.65,+125.9,+5.5,+119.3,-2.72,+0.089,-0.526,+0.361,+1.069,LLLLLLLLLL,LLLL
110,2014-06-17 20:25:14,000,+5.42,+0.61,+112.8,-7.4,+119.3,+0.09,+0.089,-0.527,+0.351,+1.224,LLLLLLLLLL,LLLL
111,2014-06-17 20:30:14,000,+5.15,+0.65,+136.4,+13.7,+124.6,-3.66,+0.089,-0.527,+0.329,+1.074,LLLLLLLLLL,LLLL
112,2014-06-17 20:35:14,000,+5.03,+0.66,+110.1,+8.2,+103.5,+7.51,+0.089,-0.526,+0.315,+1.176,LLLLLLLLLL,LLLL
113,2014-06-17 20:40:14,000,+4.86,+0.61,+107.6,+8.2,+96.1,+1.06,+0.087,-0.526,+0.283,+1.067,LLLLLLLLLL,LLLL
114,2014-06-17 20:45:14,000,+4.81,+0.68,+115.4,-4.9,+119.4,+4.25,+0.089,-0.526,+0.239,+1.117,LLLLLLLLLL,LLLL
115,2014-06-17 20:50:14,000,+4.77,+0.68,+123.2,-2.2,+124.6,+8.14,+0.089,-0.527,+0.214,+1.072,LLLLLLLLLL,LLLL
116,2014-06-17 20:55:14,000,+4.75,+0.69,+123.2,+8.1,+116.6,-1.02,+0.089,-0.526,+0.203,+1.088,LLLLLLLLLL,LLLL
117,2014-06-17 21:00:14,000,+4.72,+0.70,+110.2,+5.6,+103.2,+7.07,+0.089,-0.526,+0.183,+1.070,LLLLLLLLLL,LLLL
118,2014-06-17 21:05:14,000,+4.71,+0.69,+186.4,+45.0,+143.2,+4.91,+0.095,-0.527,+0.173,+1.082,LLLLLLLLLL,LLLL
119,2014-06-17 21:10:14,000,+4.71,+0.90,+157.4,+26.9,+130.0,-0.97,+0.103,-0.527,+0.188,+1.071,LLLLLLLLLL,LLLL
120,2014-06-17 21:15:14,000,+4.68,+0.79,+176.2,+26.8,+151.2,+5.70,+0.103,-0.526,+0.176,+1.083,LLLLLLLLLL,LLLL
121,2014-06-17 21:20:14,000,+4.67,+0.81,+146.5,+13.6,+135.3,+2.35,+0.100,-0.526,+0.207,+1.105,LLLLLLLLLL,LLLL
122,2014-06-17 21:25:14,000,+4.68,+0.76,+133.6,+11.4,+124.6,-0.60,+0.095,-0.526,+0.244,+1.078,LLLLLLLLLL,LLLL
123,2014-06-17 21:30:14,000,+4.67,+0.75,+141.5,+8.4,+132.7,+6.60,+0.095,-0.526,+0.310,+1.094,LLLLLLLLLL,LLLL
124,2014-06-17 21:35:14,000,+4.69,+0.79,+149.6,+2.8,+145.9,+0.67,+0.098,-0.527,+0.315,+1.074,LLLLLLLLLL,LLLL
125,2014-06-17 21:40:14,000,+4.69,+0.83,+146.7,+18.9,+127.3,+2.85,+0.098,-0.527,+0.300,+2.780,LLLLLLLLLL,LLLL
126,2014-06-17 21:45:14,000,+4.67,+0.76,+125.9,+0.4,+124.6,+8.08,+0.092,-0.526,+0.276,+1.075,LLLLLLLLLL,LLLL
127,2014-06-17 21:50:14,000,+4.66,+0.79,+136.4,+5.6,+130.0,-2.95,+0.092,-0.527,+0.285,+1.083,LLLLLLLLLL,LLLL
128,2014-06-17 21:55:14,000,+4.66,+0.76,+120.7,+16.4,+103.5,+5.97,+0.092,-0.527,+0.300,+1.078,LLLLLLLLLL,LLLL
129,2014-06-17 22:00:14,000,+4.66,+0.65,+107.7,+8.3,+98.1,+5.70,+0.087,-0.526,+0.285,+1.050,LLLLLLLLLL,LLLL
130,2014-06-17 22:05:14,000,+4.64,+0.65,+99.6,+3.0,+96.0,-1.18,+0.084,-0.527,+0.290,+1.075,LLLLLLLLLL,LLLL
131,2014-06-17 22:10:14,000,+4.65,+0.63,+102.2,+8.2,+93.6,+7.12,+0.085,-0.526,+0.288,+1.127,LLLLLLLLLL,LLLL
132,2014-06-17 22:15:14,000,+4.61,+0.67,+86.7,-7.4,+96.2,+2.70,+0.084,-0.526,+0.271,+1.070,LLLLLLLLLL,LLLL
133,2014-06-17 22:20:14,000,+4.59,+0.67,+94.6,+2.9,+88.2,+4.96,+0.082,-0.526,+0.276,+1.204,LLLLLLLLLL,LLLL
134,2014-06-17 22:25:14,000,+4.61,+0.62,+91.9,+0.4,+90.9,+8.23,+0.081,-0.527,+0.299,+1.078,LLLLLLLLLL,LLLL
135,2014-06-17 22:30:14,000,+4.60,+0.64,+107.7,+2.9,+103.3,+3.23,+0.082,-0.527,+0.344,+1.310,LLLLLLLLLL,LLLL
136,2014-06-17 22:35:14,000,+4.65,+0.66,+115.7,+13.9,+103.3,-1.37,+0.085,-0.527,+0.339,+1.072,LLLLLLLLLL,LLLL
137,2014-06-17 22:40:14,000,+4.67,+0.73,+110.3,+13.8,+96.0,-3.39,+0.089,-0.527,+0.310,+1.309,LLLLLLLLLL,LLLL
138,2014-06-17 22:45:14,000,+4.69,+0.69,+99.8,+0.2,+96.0,-0.29,+0.087,-0.527,+0.241,+1.064,LLLLLLLLLL,LLLL
139,2014-06-17 22:50:14,000,+4.71,+0.66,+94.5,+5.3,+88.0,+1.24,+0.085,-0.527,+0.193,+1.260,LLLLLLLLLL,LLLL
140,2014-06-17 22:55:14,000,+4.72,+0.61,+92.0,+5.5,+85.2,+1.86,+0.082,-0.526,+0.142,+1.053,LLLLLLLLLL,LLLL
141,2014-06-17 23:00:14,000,+4.74,+0.61,+107.5,+2.7,+103.1,+2.19,+0.082,-0.526,+0.100,+1.194,LLLLLLLLLL,LLLL
142,2014-06-17 23:05:14,000,+4.75,+0.59,+96.9,+7.9,+87.8,+2.21,+0.082,-0.526,+0.090,+1.042,LLLLLLLLLL,LLLL
143,2014-06-17 23:10:14,000,+4.77,+0.56,+94.2,+7.9,+85.1,+2.39,+0.079,-0.526,+0.047,+1.122,LLLLLLLLLL,LLLL
144,2014-06-17 23:15:14,000,+4.79,+0.50,+83.9,-2.4,+85.1,+2.77,+0.076,-0.526,+0.027,+1.037,LLLLLLLLLL,LLLL
145,2014-06-17 23:20:14,000,+4.78,+0.46,+73.5,+2.7,+70.0,+2.42,+0.076,-0.527,+0.007,+1.075,LLLLLLLLLL,LLLL
146,2014-06-17 23:25:14,000,+4.76,+0.48,+88.9,+7.9,+79.9,+2.65,+0.079,-0.526,+0.027,+1.029,LLLLLLLLLL,LLLL
147,2014-06-17 23:30:14,000,+4.75,+0.47,+73.5,+0.0,+72.5,+2.75,+0.076,-0.527,+0.034,+1.045,LLLLLLLLLL,LLLL
148,2014-06-17 23:35:14,000,+4.75,+0.47,+99.4,+10.7,+87.7,+2.44,+0.082,-0.526,+0.056,+1.024,LLLLLLLLLL,LLLL
149,2014-06-17 23:40:14,000,+4.73,+0.46,+60.1,-2.7,+64.5,+2.87,+0.079,-0.527,+0.071,+1.034,LLLLLLLLLL,LLLL
150,2014-06-17 23:45:14,000,+4.71,+0.37,+54.8,+2.7,+51.4,+3.65,+0.074,-0.526,+0.039,+1.021,LLLLLLLLLL,LLLL
151,2014-06-17 23:50:14,000,+4.71,+0.35,+54.8,+2.5,+51.4,+10.81,+0.074,-0.526,+0.017,+1.032,LLLLLLLLLL,LLLL
152,2014-06-17 23:55:14,000,+4.78,+0.35,+65.6,-13.0,+77.1,+4.99,+0.073,-0.526,+0.025,+1.573,LLLLLLLLLL,LLLL
153,2014-06-18 00:00:14,000,+4.80,+0.34,+54.7,+5.1,+48.8,-2.76,+0.074,-0.526,+0.054,+1.026,LLLLLLLLLL,LLLL
154,2014-06-18 00:05:14,000,+4.82,+0.37,+62.6,+10.9,+54.1,+10.08,+0.074,-0.526,+0.054,+1.032,LLLLLLLLLL,LLLL
155,2014-06-18 00:10:14,000,+5.03,+0.40,+70.7,-10.6,+79.8,+3.44,+0.074,-0.526,+0.079,+1.028,LLLLLLLLLL,LLLL
156,2014-06-18 00:15:14,000,+5.12,+0.40,+68.1,-0.2,+64.5,-3.91,+0.074,-0.526,+0.115,+2.768,LLLLLLLLLL,LLLL
157,2014-06-18 00:20:14,000,+5.21,+0.40,+83.7,-10.4,+93.2,+2.42,+0.074,-0.526,+0.127,+1.026,LLLLLLLLLL,LLLL
158,2014-06-18 00:25:14,000,+5.33,+0.45,+91.6,-2.6,+92.9,+10.46,+0.073,-0.526,+0.151,+1.026,LLLLLLLLLL,LLLL
159,2014-06-18 00:30:14,000,+5.42,+0.44,+89.0,-5.2,+93.2,-1.39,+0.074,-0.526,+0.217,+1.023,LLLLLLLLLL,LLLL
160,2014-06-18 00:35:14,000,+5.42,+0.44,+120.1,+34.2,+85.1,-2.83,+0.074,-0.526,+0.248,+0.928,LLLLLLLLLL,LLLL
161,2014-06-18 00:40:14,000,+5.48,+0.48,+170.2,+39.6,+129.5,+4.93,+0.079,-0.526,+0.258,+1.023,LLLLLLLLLL,LLLL
